RANK,NAME,POSITION,WAR,G,PA,EPA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/EPA,WRC+,TEAM
3,유로결,LF,-0.17,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,-0.313,-141.5,hanhwa
1,이원석,CF,0.06,17,6,6,5,1,1,0,0,0,1,1,1,0,1,0,0,2,1,0,0,0.2,0.333,0.2,0.533,-0.071,43.0,hanhwa
2,장진혁,CF,-0.06,2,7,7,6,2,1,0,0,0,1,0,1,0,0,1,0,3,0,0,0,0.167,0.286,0.167,0.453,-0.097,23.3,hanhwa
3,임종찬,CF,-0.19,21,60,60,54,8,8,3,2,0,15,7,0,1,5,1,0,17,2,0,0,0.148,0.233,0.278,0.511,-0.074,40.6,hanhwa
4,김강민,CF,-0.67,13,25,25,23,0,2,0,0,0,2,0,0,0,2,0,0,7,1,0,0,0.087,0.16,0.087,0.247,-0.194,-51.0,hanhwa
1,페라자,RF,1.82,40,187,186,162,30,50,10,0,12,96,31,2,3,24,0,2,45,2,0,1,0.309,0.396,0.593,0.989,0.092,166.4,hanhwa
2,이진영,RF,0.02,23,63,63,55,9,11,4,0,0,15,8,0,0,6,2,0,18,1,0,0,0.2,0.302,0.273,0.575,-0.063,48.7,hanhwa
3,김태연,RF,0.0,27,68,67,55,8,15,6,0,1,24,9,0,2,10,2,0,7,1,1,0,0.273,0.403,0.436,0.839,0.041,127.3,hanhwa
1,서동욱,C,0.0,2,3,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.333,0.0,0.333,-0.086,31.6,lotte
2,백두산,C,-0.02,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.315,-142.9,lotte
3,손성빈,C,-0.16,12,17,17,15,3,1,0,0,0,1,0,0,0,2,0,0,5,1,0,0,0.067,0.176,0.067,0.243,-0.187,-45.7,lotte
4,정보근,C,-0.2,25,55,54,53,1,13,0,1,0,15,2,0,0,1,0,0,10,3,1,0,0.245,0.259,0.283,0.542,-0.081,36.2,lotte
5,유강남,C,-0.51,26,76,75,67,2,11,2,0,0,13,4,0,0,5,3,0,10,2,1,0,0.164,0.253,0.194,0.447,-0.111,13.8,lotte
1,정훈,1B,0.09,36,139,139,129,12,35,9,0,3,53,15,1,0,10,0,0,24,1,0,0,0.271,0.324,0.411,0.735,-0.013,86.8,lotte
2,나승엽,1B,-0.24,17,57,57,52,7,14,1,2,0,19,3,0,0,4,0,0,17,0,0,1,0.269,0.316,0.365,0.681,-0.033,72.0,lotte
1,정대선,2B,0.0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.315,-142.9,lotte
2,김민성,2B,-0.04,19,52,52,43,2,9,1,0,1,13,4,0,1,7,1,0,9,1,0,1,0.209,0.327,0.302,0.629,-0.052,57.5,lotte
3,최항,2B,-0.13,25,63,63,56,3,13,2,0,0,15,6,0,0,7,0,0,15,2,0,0,0.232,0.317,0.268,0.585,-0.066,46.9,lotte
4,이주찬,2B,-0.36,14,24,24,23,6,4,1,0,1,8,2,0,0,1,0,0,9,1,0,0,0.174,0.208,0.348,0.556,-0.018,83.5,lotte
1,손호영,3B,0.93,27,104,103,98,15,32,6,2,3,51,18,6,3,3,2,0,21,1,1,0,0.327,0.359,0.52,0.879,0.054,137.4,lotte
2,오선진,3B,0.06,8,12,11,8,0,1,0,0,0,1,0,0,0,1,2,0,4,0,1,0,0.125,0.364,0.125,0.489,-0.053,59.9,lotte
3,한동희,3B,-0.21,10,23,23,22,1,7,2,0,0,9,3,0,0,1,0,1,5,0,0,0,0.318,0.348,0.409,0.757,-0.021,81.1,lotte
4,박승욱,3B,-0.79,37,90,90,81,8,18,2,0,1,23,7,0,1,7,2,0,23,2,0,0,0.222,0.3,0.284,0.584,-0.066,46.5,lotte
1,이학주,SS,0.15,18,55,53,47,7,16,2,1,0,20,0,0,0,5,1,0,22,0,2,0,0.34,0.415,0.426,0.841,0.024,114.3,lotte
2,노진혁,SS,-0.29,17,45,45,39,3,6,1,0,0,7,2,0,0,6,0,0,12,0,0,0,0.154,0.267,0.179,0.446,-0.108,14.7,lotte
1,황성빈,LF,1.15,26,41,41,37,18,14,0,2,3,27,8,12,0,4,0,0,7,0,0,0,0.378,0.439,0.73,1.169,0.166,223.4,lotte
2,고승민,LF,0.95,20,79,79,72,8,22,8,1,2,38,14,3,0,5,1,0,15,1,0,1,0.306,0.354,0.528,0.882,0.044,130.5,lotte
3,이정훈,LF,0.2,13,31,31,24,1,6,3,0,0,9,7,0,0,6,0,0,9,1,0,1,0.25,0.387,0.375,0.762,0.032,121.5,lotte
1,윤동희,CF,0.49,38,160,160,142,31,39,10,1,2,57,13,2,2,16,0,0,26,2,0,2,0.275,0.344,0.401,0.745,-0.008,90.9,lotte
2,신윤후,CF,0.01,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.315,-142.9,lotte
3,김민석,CF,-0.3,15,48,47,44,3,9,1,1,0,12,2,1,1,1,2,0,12,3,1,0,0.205,0.255,0.273,0.528,-0.08,37.4,lotte
1,레이예스,RF,1.25,39,173,173,156,23,54,9,0,5,78,28,4,0,14,1,0,26,5,0,2,0.346,0.399,0.5,0.899,0.054,137.8,lotte
2,장두성,RF,0.04,19,14,14,11,4,2,0,0,0,2,0,4,2,2,1,0,4,0,0,0,0.182,0.357,0.182,0.539,-0.061,50.3,lotte
1,전준우,DH,1.12,39,172,172,156,19,48,11,1,6,79,29,3,0,13,2,0,25,4,0,1,0.308,0.366,0.506,0.872,0.049,134.2,lotte
1,김영웅,SS,1.89,40,173,172,153,24,46,8,1,9,83,26,3,0,18,1,0,50,2,1,0,0.301,0.378,0.542,0.92,0.038,125.8,Samsung
2,구자욱,LF,1.71,39,179,178,158,26,49,10,0,8,83,33,3,2,13,6,1,26,1,0,2,0.31,0.38,0.525,0.905,0.046,132.0,Samsung
3,맥키넌,1B,1.56,36,162,160,138,17,50,7,0,3,66,19,1,0,24,0,3,15,3,0,0,0.362,0.457,0.478,0.935,0.062,143.6,Samsung
4,김지찬,CF,1.3,41,169,165,143,24,40,7,0,1,50,13,12,0,18,4,0,11,1,4,0,0.28,0.376,0.35,0.726,0.002,98.5,Samsung
5,이성규,CF,1.12,38,89,86,68,12,16,3,0,5,34,16,2,0,10,6,0,27,1,3,2,0.235,0.372,0.5,0.872,0.025,115.5,Samsung
6,이재현,SS,1.1,24,108,108,94,15,26,7,0,3,42,13,0,0,13,0,0,23,1,0,1,0.277,0.361,0.447,0.808,0.008,103.0,Samsung
7,김헌곤,RF,0.44,37,78,77,70,11,23,3,0,2,32,9,1,1,6,1,0,15,1,1,0,0.329,0.39,0.457,0.847,0.032,121.3,Samsung
8,강민호,C,0.27,41,134,133,119,14,31,2,0,2,39,13,0,0,12,2,1,13,8,0,1,0.261,0.336,0.328,0.664,-0.027,76.4,Samsung
9,김재혁,LF,0.27,12,34,34,30,5,7,2,1,0,11,6,2,1,2,0,0,11,0,0,2,0.233,0.265,0.367,0.632,-0.025,77.6,Samsung
10,류지혁,2B,0.23,23,81,81,71,9,20,1,0,1,24,12,3,2,8,1,0,14,0,0,1,0.282,0.358,0.338,0.696,-0.011,88.6,Samsung
11,전병우,3B,0.2,4,12,12,10,1,4,2,0,0,6,1,0,0,1,1,0,4,0,0,0,0.4,0.5,0.6,1.1,0.136,200.1,Samsung
12,류승민,LF,0.13,5,3,3,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.0,0.667,0.0,0.667,0.138,201.8,Samsung
13,김재상,2B,0.08,24,68,67,64,10,15,3,0,1,21,9,2,0,2,0,0,16,0,1,1,0.234,0.254,0.328,0.582,-0.091,28.4,Samsung
14,안주형,2B,0.07,9,34,33,30,4,8,2,0,0,10,1,2,1,3,0,0,5,0,1,0,0.267,0.333,0.333,0.666,0.014,107.4,Samsung
15,김태훈,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Samsung
15,김대우,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Samsung
15,육선엽,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Samsung
18,이병헌,C,0.0,21,41,41,35,2,10,1,0,0,11,3,0,0,5,1,0,10,0,0,0,0.286,0.39,0.314,0.704,-0.012,88.0,Samsung
19,김동엽,LF,0.0,6,14,13,11,1,2,1,0,0,3,2,0,0,1,1,1,5,0,0,1,0.182,0.286,0.273,0.559,-0.04,69.1,Samsung
20,김호진,2B,-0.06,13,25,25,22,0,2,0,0,0,2,3,0,0,1,1,0,8,1,0,1,0.091,0.16,0.091,0.251,-0.158,-23.9,Samsung
21,공민규,1B,-0.06,8,14,14,11,1,1,0,0,1,4,2,0,0,1,2,0,7,1,0,0,0.091,0.286,0.364,0.65,-0.034,70.9,Samsung
22,김재성,C,-0.08,10,23,23,20,3,4,1,0,0,5,1,0,0,3,0,0,5,1,0,0,0.2,0.304,0.25,0.554,-0.037,68.4,Samsung
23,김성윤,RF,-0.11,27,75,72,61,13,13,2,0,0,15,6,3,1,8,1,0,15,1,3,2,0.213,0.306,0.246,0.552,-0.069,46.8,Samsung
24,김현준,CF,-0.13,27,77,76,67,9,11,6,1,0,19,6,0,0,6,1,0,21,4,1,2,0.164,0.237,0.284,0.521,-0.097,23.8,Samsung
25,오재일,1B,-0.26,12,47,47,41,3,8,4,1,1,17,5,0,0,6,0,0,8,2,0,0,0.195,0.298,0.415,0.713,-0.037,68.5,Samsung
26,김동진,2B,-0.28,6,7,7,6,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0.0,0.143,0.0,0.143,-0.223,-73.2,Samsung
27,강한울,3B,-0.35,18,25,22,21,1,2,0,0,0,2,1,0,0,0,0,0,6,1,3,1,0.095,0.091,0.095,0.186,-0.248,-69.2,Samsung
,에레디아,LF,1.56,39,165,163,149,27,58,7,0,6,83,32,1,2,11,3,2,22,4,0,2,0.389,0.436,0.557,0.993,0.079,156.5,SSG
,최지훈,CF,1.36,42,195,194,172,31,48,7,1,3,66,14,13,2,21,0,0,29,2,1,1,0.279,0.356,0.384,0.74,-0.005,93.0,SSG
,최정,3B,1.33,36,152,152,129,25,35,10,0,12,81,33,3,0,16,6,0,32,4,0,1,0.271,0.375,0.628,1.003,0.065,146.3,SSG
,박성한,SS,1.01,42,184,182,163,24,49,9,0,1,61,16,4,2,20,0,1,24,3,1,0,0.301,0.377,0.374,0.751,0.001,97.6,SSG
,이지영,C,0.8,40,133,132,122,14,35,2,0,0,37,16,4,0,6,3,0,9,1,1,1,0.287,0.333,0.303,0.636,-0.026,77.1,SSG
,김성현,2B,0.49,19,66,65,56,10,13,2,0,0,15,5,1,0,5,4,0,8,2,1,0,0.232,0.338,0.268,0.606,-0.026,77.7,SSG
,오태곤,LF,0.39,36,54,53,47,7,10,1,0,0,11,2,8,0,6,0,1,14,0,1,0,0.213,0.302,0.234,0.536,-0.077,39.2,SSG
,최경모,2B,0.23,27,25,23,19,6,4,0,0,0,4,0,3,2,4,0,0,3,0,2,0,0.211,0.348,0.211,0.559,-0.022,81.1,SSG
,박지환,SS,0.23,11,30,30,26,6,8,0,0,0,8,3,1,1,3,1,0,6,0,0,0,0.308,0.4,0.308,0.708,-0.008,90.4,SSG
,고명준,1B,0.19,40,145,145,138,13,38,5,0,5,58,20,1,4,7,0,0,35,2,0,0,0.275,0.31,0.42,0.73,-0.032,72.4,SSG
,정준재,2B,0.09,6,10,10,10,1,1,1,0,0,2,2,0,0,0,0,0,6,0,0,0,0.1,0.1,0.2,0.3,-0.193,-50.4,SSG
,추신수,DH,0.07,20,77,76,57,10,13,1,0,1,17,8,3,1,13,3,0,20,0,1,3,0.228,0.382,0.298,0.68,-0.022,80.2,SSG
,최준우,2B,0.02,2,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.333,0.0,0.333,-0.087,30.4,SSG
,김민식,C,0.01,2,4,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.25,0.0,0.25,-0.139,-9.1,SSG
,김창평,CF,-0.04,6,9,9,7,1,0,0,0,0,0,0,1,0,2,0,0,4,0,0,0,0.0,0.222,0.0,0.222,-0.165,-28.6,SSG
,류효승,LF,-0.06,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.313,-141.5,SSG
,한유섬,RF,-0.07,35,144,142,129,22,31,7,0,11,71,34,0,0,12,2,2,46,1,0,1,0.24,0.313,0.55,0.863,-0.002,95.0,SSG
,강진성,RF,-0.13,6,16,15,15,2,2,0,0,0,2,2,0,0,0,0,0,5,0,1,0,0.133,0.133,0.133,0.266,-0.15,-10.3,SSG
,조형우,C,-0.19,14,33,33,28,4,7,0,0,0,7,4,0,0,1,4,0,4,0,0,0,0.25,0.364,0.25,0.614,-0.039,67.2,SSG
,안상현,2B,-0.24,21,60,59,55,2,11,1,0,0,12,2,1,1,4,0,0,10,0,1,0,0.2,0.254,0.218,0.472,-0.095,25.6,SSG
,김찬형,SS,-0.29,5,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,-0.315,-143.0,SSG
,전의산,1B,-0.39,10,25,25,23,1,3,0,0,1,6,2,0,0,2,0,0,4,1,0,0,0.13,0.2,0.261,0.461,-0.147,-15.3,SSG
,하재훈,LF,-0.7,38,111,111,105,11,27,6,0,2,39,12,2,0,3,1,0,34,1,0,2,0.257,0.279,0.371,0.65,-0.05,58.5,SSG
