RANK,NAME,POSITION,TOTAL RAA,G,GS,IP,BAFZ,RF9,OFASS,F12 A,F12 N,F12 %,F23 A,F23 N,F23 %,F34 A,F34 N,F34 %,H13 A,H13 N,H13 %,H24 A,H24 N,H24 %,D14 A,D14 N,D14 %,RANGE RAA,ARM RAA,ERR RAA,/144,TEAM
13,윤동희,RF,-0.48,2,2,18.0,33.3,2.0,1,0,1,0.0,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,0,0.0,-0.41,-0.13,0.06,-1.81,lotte
14,장두성,LF,-0.52,5,1,15.0,0.0,1.8,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,-0.54,0.0,0.01,-3.96,lotte
15,전준우,LF,-1.16,17,17,141.1,48.4,2.67,1,0,6,0.0,0,3,0.0,1,6,16.7,2,9,16.7,0,3,16.7,1,3,16.7,-1.21,0.42,-0.36,-4.27,lotte
16,레이예스,RF,-2.24,37,37,308.2,33.9,1.84,0,0,15,0.0,0,4,0.0,0,2,0.0,8,23,0.0,0,9,0.0,1,6,0.0,-2.06,0.21,-0.4,-8.28,lotte
1,김호령,CF,4.39,32,4,95.1,50.0,3.4,0,0,8,0.0,0,2,0.0,0,1,0.0,3,5,0.0,0,3,0.0,0,1,0.0,4.98,0.26,-0.85,18.6,KIA
2,박정우,CF,1.54,2,0,5.2,100.0,3.18,0,0,0,,0,1,0.0,0,0,,0,0,,0,0,,0,0,,1.11,0.43,0.01,73.96,KIA
3,최원준,RF,1.38,28,8,116.2,50.0,1.77,1,0,7,0.0,0,3,0.0,0,0,,3,4,,0,4,,0,2,,1.31,-0.34,0.42,5.24,KIA
4,최원준,CF,0.56,30,28,197.0,52.2,2.38,1,0,15,0.0,0,5,0.0,1,4,25.0,8,11,25.0,0,9,25.0,0,1,25.0,-0.02,0.78,-0.2,2.14,KIA
5,박정우,RF,0.19,1,1,7.0,,2.57,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0.15,,0.03,8.92,KIA
6,박정우,LF,0.0,1,0,0.1,,0.0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,0.0,0.02,KIA
7,소크라테스,RF,-0.38,4,1,11.0,28.6,3.27,3,0,1,0.0,0,1,0.0,0,0,,1,2,,0,1,,1,1,,0.33,-0.25,-0.46,-1.36,KIA
8,고종욱,LF,-0.41,7,2,19.0,25.0,1.42,0,0,2,0.0,0,0,,0,0,,1,3,,0,1,,2,2,,-0.09,-0.34,0.02,-2.69,KIA
9,이창진,LF,-0.46,10,4,39.0,33.3,2.31,0,0,2,0.0,0,0,,0,0,,0,4,,0,0,,0,0,,-0.73,0.23,0.04,-1.93,KIA
10,나성범,RF,-0.54,1,1,7.0,0.0,1.29,0,0,0,,0,0,,0,0,,0,0,,0,0,,1,1,,-0.35,-0.22,0.02,-8.72,KIA
11,이우성,RF,-0.87,13,11,88.0,36.4,1.84,0,0,4,0.0,0,3,0.0,0,1,0.0,1,8,0.0,0,1,0.0,0,3,0.0,-0.13,-0.06,-0.68,-3.15,KIA
12,이창진,RF,-0.89,23,18,127.0,33.3,1.91,0,0,7,0.0,0,3,0.0,0,1,0.0,1,17,0.0,0,1,0.0,2,4,0.0,-0.44,-0.91,0.45,-3.78,KIA
13,소크라테스,CF,-1.28,8,8,58.2,28.6,2.45,3,0,1,0.0,1,1,100.0,0,0,,0,3,,0,0,,1,1,,-1.49,0.11,0.09,-4.62,KIA
14,최형우,LF,-1.79,5,5,38.1,33.3,1.41,0,0,1,0.0,0,1,0.0,0,0,,0,3,,0,0,,0,1,,-2.09,0.27,0.04,-6.59,KIA
15,소크라테스,LF,-5.18,37,29,260.0,32.6,1.7,3,0,11,0.0,0,3,0.0,1,1,100.0,5,21,100.0,0,5,100.0,0,5,100.0,-5.96,0.53,0.25,-18.66,KIA
1,권희동,LF,8.28,37,36,295.2,41.4,2.47,2,0,20,0.0,0,4,0.0,0,0,,8,19,,0,11,,1,4,,7.58,0.42,0.28,30.57,NC
2,최정원,CF,3.82,14,3,46.1,61.5,3.5,0,0,6,0.0,0,2,0.0,0,0,,1,2,,0,1,,1,2,,3.77,-0.02,0.07,24.99,NC
3,김성욱,CF,2.29,34,32,266.2,55.1,2.5,1,0,18,0.0,0,5,0.0,0,4,0.0,6,14,0.0,0,6,0.0,1,2,0.0,2.41,-0.52,0.4,8.47,NC
4,손아섭,LF,0.96,3,3,24.0,22.2,2.25,0,0,1,0.0,0,1,0.0,0,0,,2,4,,0,2,,0,1,,0.83,0.11,0.02,3.55,NC
5,박건우,RF,0.43,32,32,255.1,41.7,1.94,1,0,11,0.0,0,6,0.0,0,3,0.0,3,17,0.0,0,6,0.0,1,5,0.0,-0.8,0.33,0.91,1.65,NC
6,김성욱,RF,0.28,7,2,24.0,25.0,0.75,1,0,1,0.0,0,0,,0,0,,1,2,,0,1,,0,0,,0.5,-0.3,0.09,1.03,NC
7,박영빈,LF,0.27,4,0,8.0,100.0,1.13,0,0,1,0.0,0,0,,0,0,,0,0,,0,0,,0,0,,0.27,-0.01,0.01,6.44,NC
8,김성욱,LF,-0.34,5,0,10.0,,0.0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,-0.35,,0.01,-1.26,NC
9,손아섭,RF,-0.99,6,5,40.0,60.0,1.35,0,0,2,0.0,0,1,0.0,0,0,,0,1,,0,0,,0,1,,-1.12,-0.01,0.14,-3.65,NC
10,천재환,LF,-1.08,7,1,22.0,28.6,2.45,1,0,0,,0,1,0.0,0,1,0.0,0,3,0.0,0,1,0.0,0,1,0.0,-1.35,0.25,0.02,-5.37,NC
11,천재환,CF,-1.65,10,5,46.2,25.0,2.7,1,0,0,,0,1,0.0,0,0,,1,1,,0,1,,0,1,,-2.28,0.56,0.07,-8.21,NC
12,천재환,RF,-4.29,14,1,40.1,14.3,0.89,1,0,0,,1,1,100.0,0,0,,0,3,,0,0,,0,3,,-5.34,0.9,0.14,-21.32,NC
